2023-01-10 21:17:13 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:13 INFO  CustomListener:17 - Test execution has started for: loginVerify
2023-01-10 21:17:13 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:17:13 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:17:13 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (3fe93615fd8b5964e0bb4c1ca3ff8b3f)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:17:13 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (3fe93615fd8b5964e0bb4c1ca3ff8b3f)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:17:13 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()='Login']
2023-01-10 21:17:13 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()='Login']
2023-01-10 21:17:13 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (3fe93615fd8b5964e0bb4c1ca3ff8b3f)] -> xpath: //a[text()='Login']]
2023-01-10 21:17:13 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (3fe93615fd8b5964e0bb4c1ca3ff8b3f)] -> xpath: //a[text()='Login']]
2023-01-10 21:17:13 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-10 21:17:13 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-10 21:17:14 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-password
2023-01-10 21:17:14 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-password
2023-01-10 21:17:14 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: input.btn
2023-01-10 21:17:14 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: input.btn
2023-01-10 21:17:14 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (3fe93615fd8b5964e0bb4c1ca3ff8b3f)] -> css selector: input.btn]
2023-01-10 21:17:15 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (3fe93615fd8b5964e0bb4c1ca3ff8b3f)] -> css selector: input.btn]
